# cyrylica polska
_NAJ _НАЙ
_Naj _Най
_naj _най
_MIĘ_ _МЯ́_
_Mię_ _Мя́_
_mię_ _мя́_
_CIĘ_ _ТЯ́_
_Cię_ _Тя́_
_cię_ _тя́_
_SIĘ_ _СЯ́_
_Się_ _Ся́_
_się_ _ся́_
SZCZĘ_ ЩУ́_
Szczę_ Щу́_
szczę_ щу́_
SZCZĄ_ ЩӲ_
Szczą_ Щӳ_
szczą_ щӳ_
SZCZĄ ЩА̋
Szczą Ща̋
szczą ща̋
SZCZĘ ЩА́
Szczę Ща́
szczę ща́
SZCZE ЩЕ
Szcze Ще
szcze ще
SZCZU ЩЮ
Szczu Щю
szczu щю
SZCZO ЩЁ
Szczo Щё
szczo щё
SZCZÓ ЩО́
Szczó Що́
szczó що́
SZCZY ЩИ
Szczy Щи
szczy щи
SZCZ Щ
Szcz Щ
szcz щ
CZĘ_ ЧУ́_
Czę_ Чу́_
czę_ чу́_
CZĄ_ ЧӲ_
Czą_ Чӳ_
czą_ чӳ_
CZĄ ЧА̋
Czą Ча̋
czą ча̋
CZĘ ЧА́
Czę Ча́
czę ча́
CZE ЧЕ
CZY ЧИ
CZU ЧУ
CZO ЧЁ
CZÓ ЧО́
CZA ЧА
Cze Че
Czy Чи
Czu Чу
Czo Чё
Czó Чо́
Cza Ча
cze че
czy чи
czu чу
czo чё
czó чо́
cza ча
CZ Ч
Cz Ч
cz ч
SZĘ_ ШУ́_
Szę_ Шу́_
szę_ шу́_
SZĄ_ ШӲ_
Szą_ Шӳ_
szą_ шӳ_
SZĄ ША̋
Szą Ша̋
szą ша̋
SZĘ ША́
Szę Ша́
szę ша́
SZE ШЕ
SZY ШИ
SZU ШУ
SZO ШЁ
SZÓ ШО́
SZA ША
Sze Ше
Szy Ши
Szu Шу
Szo Шё
Szó Шо́
Sza Ша
sze ше
szy ши
szu шу
szo шё
szó шо́
sza ша
SZ Ш
Sz Ш
sz ш
RZA РЯ
Rza Ря
rza ря
RZE РЕ
Rze Ре
rze ре
RZĘ_ РЮ́_
Rzę_ Рю́_
rzę_ рю́_
RZĄ_ РЮ̋_
Rzą_ Рю̋_
rzą_ рю̋_
RZĘ РЯ́
Rzę Ря́
rzę ря́
RZĄ РЯ̋
Rzą Ря̋
rzą ря̋
RZU РЮ
Rzu Рю
rzu рю
RZY РИ
Rzy Ри
rzy ри
RZO РЁ
Rzo Рё
rzo рё
RZ РЬ
Rz Рь
rz рь
RZÓ РЬО́
Rzó Рьо́
rzó рьо́
CĘ_ ЦУ́_
Cę_ Цу́_
cę_ цу́_
CĄ_ ЦӲ_
Cą_ Цӳ_
cą_ цӳ_
CĘ ЦА́
Cę Ца́
cę ца́
CE ЦЕ
CY_ ЦЫ_
CY ЦИ
CU ЦУ
CO ЦО
CÓ ЦО́
CA ЦА
Ce Це
Cy_ Цы_
Cy Ци
Cu Цу
Co Цо
Có Цо́
Ca Ца
ce це
cy ци
cy_ цы_
cu цу
co цо
có цо́
ca ца
ŻĘ_ ЖУ́_
Żę_ Жу́_
żę_ жу́_
ŻĄ_ ЖӲ_
Żą_ Жӳ_
żą_ жӳ_
ŻĘ ЖА́
Żę Жа́
żę жа́
ŻĄ ЖА̋
Żą Жа̋
żą жа̋
ŻE ЖЕ
ŻY ЖИ
ŻU ЖУ
ŻO_ ЖО_
Żo_ Жо_
żo_ жо_
ŻO ЖЁ
ŻÓ ЖО́
ŻA ЖА
Że Же
Ży Жи
Żu Жу
Żo Жё
Żó Жо́
Ża Жа
że же
ży жи
żu жу
żo жё
żó жо́
ża жа
DI ДИ
Di Ди
di ди
RI РИ
Ri Ри
ri ри
TI ТИ
Ti Ти
ti ти
CIE ТЕ
Cie Те
cie те
CIA ТЯ
Cia Тя
cia тя
CIĄ_ ТЮ̋_
Cią_ Тю̋_
cią_ тю̋_
CIĘ_ ТЮ́_
Cię_ Тю́_
cię_ тю́_
CIĄ ТЯ̋
Cią Тя̋
cią тя̋
CIĘ ТЯ́
Cię Тя́
cię тя́
CIU ТЮ
Ciu Тю
ciu тю
CIO ТЁ
Cio Тё
cio тё
CIÓ ТЬО́
Ció Тьо́
ció тьо́
CI ТИ
Ci Ти
ci ти
DZIE ДЕ
Dzie Де
dzie де
DZIA ДЯ
Dzia Дя
dzia дя
DZIĄ_ ДЮ̋_
Dzią_ Дю̋_
dzią_ дю̋_
DZIĘ_ ДЮ́_
Dzię_ Дю́_
dzię_ дю́_
DZIĄ ДЯ̋
Dzią Дя̋
dzią дя̋
DZIĘ ДЯ́
Dzię Дя́
dzię дя́
DZIU ДЮ
Dziu Дю
dziu дю
DZIO ДЁ
Dzio Дё
dzio дё
DZIÓ ДЬО́
Dzió Дьо́
dzió дьо́
DZI ДИ
Dzi Ди 
dzi ди
ZIE ЗЕ
Zie Зе
zie зе
ZIA ЗЯ
Zia Зя
zia зя
ZIĄ_ ЗЮ̋_
Zią_ Зю̋_
zią_ зю̋_
ZIĘ_ ЗЮ́_
Zię_ Зю́_
zię_ зю́_
ZIĄ ЗЯ̋
Zią Зя̋
zią зя̋
ZIĘ ЗЯ́
Zię Зя́
zię зя́
ZIU ЗЮ
Ziu Зю
ziu зю
ZIO ЗЁ
Zio Зё
zio зё
ZIÓ ЗЬО́
Zió Зьо́
zió зьо́
SIE СЕ
Sie Се
sie се
SIA СЯ
Sia Ся
sia ся
SIĄ_ СЮ̋_
Sią_ Сю̋_
sią_ сю̋_
SIĘ_ СЮ́_
Się_ Сю́_
się_ сю́_
SIĄ СЯ̋
Sią Ся̋
sią ся̋
SIĘ СЯ́
Się Ся́
się ся́
SIU СЮ	
Siu Сю
siu сю
SIO СЁ
Sio Сё
sio сё
SIÓ СЬО́
Sió Сьо́
sió Сьо́
LI ЛИ
Li Ли
li ли
LE ЛЕ
Le Ле
le ле
LU ЛЮ
Lu Лю
lu лю
LO ЛЁ
Lo Лё
lo лё
LA ЛЯ
La Ля
la ля
LÓ ЛЬО́
Ló Льо́
ló льо́
LĄ_ ЛЮ̋_
Lą_ Лю̋_
lą_ лю̋_
LĘ_ ЛЮ́_
Lę_ Лю́_
lę_ лю́_
LĄ ЛЯ̋
Lą Ля̋
lą ля̋
LĘ ЛЯ́
Lę Ля́
lę ля́
WJ ВЙ
Wj Вй
wj вй
RJ РЙ
Rj Рй
rj рй
TJ ТЙ
Tj Тй
tj тй
PJ ПЙ
Pj Пй
pj пй
SJ СЙ
Sj Сй
sj сй
DJ ДЙ
Dj Дй
dj дй
FJ ФЙ
Fj Фй
fj фй
GJ ГЙ
Gj Гй
gj гй
HJ ХЙ
Hj Хй
hj хй
KJ КЙ
Kj Кй
kj кй
LJ ЛЬ
Lj Ль
lj ль
ZJ ЗЙ
Zj Зй
zj зй
CHJ ХЙ
Chj Хй
chj хй
CJ ЦЙ
Cj Цй
cj цй
BJ БЙ
Bj Бй
bj бй
NJ НЙ
Nj Нй
nj нй
MJ МЙ
Mj Мй
mj мй
JĄ_ Ю̋_
Ją_ Ю̋_
ją_ ю̋_
JĘ_ Ю́_
ję_ ю́_
JĄ Я̋
Ją Я̋
ją я̋
JĘ Я́
Ję Я́
ję я́
JE Е
JU Ю
JO Ё
JÓ ЙО́
JA Я
Je Е
Ju Ю
Jo Ё
Jó Йо́
Ja Я
je е
ju ю
jo ё
_jó _йо́
ja я
IĘ_ Ю́_
ię_ ю́_
IĄ_ Ю̋_
ią_ ю̋_
IĘ Я́
ię я́
IĄ Я̋
ią я̋
Ę_ У́_
ę_ у́_
Ę У́
ę у́
Ą_ Ӳ_
ą_ ӳ_
Ą У́
ą у́
CH Х
Ch Х
ch х
DŹ ДЬ
Dź Дь
dź дь
L Ль
l ль
Ł Л
ł л
Ż Ж
ż ж
Ć Ть
ć ть
Ś Сь
ś сь
Ź Зь
ź зь
W В
w в
R Р
r р
T Т
t т
P П
p п
S С
s с
D Д
d д
F Ф
f ф
G Г
g г
H Х
h х
K К
k к
Z З
z з
C Ц
c ц
B Б
b б
N Н
n н
Ń НЬ
ń нь
M М
m м
IE Е
ie е
IU Ю
iu ю
IO Ё
io ё
IÓ ЬО́ 
ió ьо́
IA Я
ia я
E Э
e э
U У
u у
I И
i и
O О
o о
Ó О́
ó о́
A А
a а
Y Ы
y ы
QU КВ
Qu Кв
qu кв
V В
v в
X Кс
x кс
J Й
j й
